cid,Probability of nonactivity,Probability of activity
130583,0.50319433,0.4968057
10378968,0.50319445,0.49680558
150973,0.50319505,0.49680498
53759423,0.50319725,0.49680275
49822695,0.5031984,0.49680158
6478042,0.5032001,0.4967999
6478358,0.5032017,0.49679828
100997305,0.50320464,0.49679536
57358089,0.5032056,0.4967944
92253117,0.5032056,0.4967944
5287615,0.5032057,0.49679428
485376,0.5032057,0.49679428
504736,0.50321174,0.49678823
511720,0.5032127,0.49678734
506491,0.5032128,0.49678722
126915,0.50321317,0.4967868
69886241,0.5032154,0.49678463
67763123,0.5032154,0.49678463
13564810,0.5032154,0.49678463
22787949,0.503217,0.49678305
5274689,0.50321746,0.4967825
44416697,0.50322115,0.49677888
453994,0.50322247,0.49677756
355900,0.50322247,0.49677756
135959544,0.5032244,0.49677563
13630026,0.5032252,0.49677482
71404177,0.5032263,0.49677375
5270503,0.503227,0.49677297
488242,0.50322974,0.4967703
3012227,0.5032301,0.49676988
135463451,0.50323117,0.4967688
5276961,0.50323194,0.49676806
6561296,0.50323606,0.4967639
7116198,0.50323606,0.4967639
7075199,0.50323606,0.4967639
135756371,0.50323987,0.49676016
73353418,0.5032402,0.4967598
188575,0.5032418,0.49675822
15928607,0.50324404,0.496756
54716343,0.50324523,0.49675474
54370573,0.5032455,0.4967545
18881,0.50324893,0.4967511
6566064,0.50324893,0.4967511
23617998,0.50324893,0.4967511
7099911,0.50324893,0.4967511
97480,0.50324893,0.4967511
135515425,0.50324905,0.49675092
22899187,0.50325,0.49675003
6480473,0.5032514,0.49674863
512330,0.50325227,0.49674773
21826754,0.50325406,0.4967459
3010354,0.50325406,0.4967459
92252368,0.50325406,0.4967459
3006523,0.5032551,0.49674487
3006522,0.5032551,0.49674487
125493861,0.50325704,0.496743
125493863,0.50325704,0.496743
151360,0.5032601,0.49673992
6915703,0.5032607,0.49673933
3007778,0.5032607,0.49673933
516466,0.50326157,0.4967384
24773090,0.5032618,0.49673817
301081,0.5032618,0.49673817
18651801,0.50326705,0.49673298
121487083,0.5032704,0.49672958
121487082,0.5032704,0.49672958
3037046,0.5032716,0.49672845
125494151,0.503274,0.49672598
125494152,0.503274,0.49672598
169061,0.50327414,0.49672586
10612861,0.5032743,0.49672568
10678117,0.5032761,0.49672386
489881,0.50327647,0.49672356
6479140,0.50327694,0.4967231
10778362,0.5032772,0.49672285
136842861,0.5032775,0.49672252
135854977,0.5032775,0.49672252
71374221,0.5032777,0.49672228
10019125,0.50328493,0.4967151
93476651,0.50328493,0.4967151
135582771,0.5032859,0.4967141
355902,0.503286,0.49671403
453997,0.503286,0.49671403
5271960,0.503286,0.49671403
136235778,0.50328827,0.49671173
136824017,0.50328827,0.49671173
135454023,0.50328827,0.49671173
135518164,0.50328827,0.49671173
136257794,0.50328827,0.49671173
124316,0.50328875,0.49671122
97107236,0.5032904,0.49670956
6482479,0.5032904,0.49670956
92978664,0.5032904,0.49670956
14209054,0.5032904,0.49670956
11278700,0.50329065,0.49670938
131886802,0.5032911,0.49670893
121007157,0.5032911,0.49670893
71402186,0.5032911,0.49670893
10849717,0.5032942,0.4967058
11129803,0.50329536,0.49670464
57348664,0.5032979,0.49670205
136092261,0.50329816,0.49670187
135562676,0.50329816,0.49670187
136165051,0.50329816,0.49670187
131886803,0.503299,0.49670097
90663555,0.503299,0.49670097
335400,0.5032997,0.4967003
507269,0.5032997,0.4967003
92264935,0.5032997,0.4967003
14376122,0.50329983,0.49670017
21818173,0.5033014,0.49669862
92243772,0.5033014,0.49669862
67447429,0.5033027,0.49669728
131875799,0.5033034,0.49669662
