cid,Activite,IsomericSMILES,Canonical_smiles
44422395,0,C1=C([C@H]([C@H]([C@@H]1C2=CN=C(NC2=O)N)O)O)CO,Nc1ncc([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
44422400,0,C1=C([C@H]([C@H]([C@@H]1C2=CNC(=O)NC2=O)O)O)CO,O=c1[nH]cc([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
16754950,0,CCCCCCCCCCCCCCCCCCOP1(=O)CO[C@H](CO1)CN2C=NC(=NC2=O)N,CCCCCCCCCCCCCCCCCCOP1(=O)CO[C@@H](Cn2cnc(N)nc2=O)CO1
44436718,0,CCCCCCCC/C=C/CCCCCCCCCCCCOP1(=O)CO[C@H](CO1)CN2C=NC(=NC2=O)N,CCCCCCCC/C=C/CCCCCCCCCCCCOP1(=O)CO[C@@H](Cn2cnc(N)nc2=O)CO1
16061427,0,C1[C@@H](OCP(=O)(O1)O)CN2C=NC(=NC2=O)N,Nc1ncn(C[C@H]2COP(=O)(O)CO2)c(=O)n1
16110080,0,C1=NC(=NC(=O)N1C[C@@H](CO)OCP(=O)(O)O)N,Nc1ncn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1
44438051,0,CC1=CC(=CN2C1=NC=C2CSCCC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-],Cc1cc(-c2cccc([N+](=O)[O-])c2)cn2c(CSCCc3ccccc3)cnc12
23661574,0,C1=CC=C(C=C1)CCSCC2=CN=C3N2C=C(C=C3)C4=CC=CC=C4,c1ccc(CCSCc2cnc3ccc(-c4ccccc4)cn23)cc1
44438038,0,CC1=CC(=CN2C1=NC=C2CSCCC3=CC=CC=C3)C4=CSC=C4,Cc1cc(-c2ccsc2)cn2c(CSCCc3ccccc3)cnc12
44438045,0,CC1=CC(=CN2C1=NC=C2CSCCC3=CC=CC=C3)C4=CC=C(C=C4)O,Cc1cc(-c2ccc(O)cc2)cn2c(CSCCc3ccccc3)cnc12
44438036,0,CC1=CC(=CN2C1=NC=C2CSCCC3=CC=CC=C3)C4=CC=CC=C4,Cc1cc(-c2ccccc2)cn2c(CSCCc3ccccc3)cnc12
44438046,0,CC1=CN2C(=CN=C2C(=C1)C3=CC=C(C=C3)O)CSCCC4=CC=CC=C4,Cc1cc(-c2ccc(O)cc2)c2ncc(CSCCc3ccccc3)n2c1
24814790,0,C1=CC=C(C=C1)NC(=S)NC2=CC=C(C=C2)OCC3=NNC(=S)N3C4=CC=CC=C4,S=C(Nc1ccccc1)Nc1ccc(OCc2n[nH]c(=S)n2-c2ccccc2)cc1
24814650,0,CCN1C(=NNC1=S)COC2=CC=C(C=C2)NC(=S)NC3=CC=CC=C3,CCn1c(COc2ccc(NC(=S)Nc3ccccc3)cc2)n[nH]c1=S
24814793,0,C1=CC=C(C=C1)N2C(=NNC2=S)COC3=CC=C(C=C3)N,Nc1ccc(OCc2n[nH]c(=S)n2-c2ccccc2)cc1
44438039,0,CC1=CN2C(=CN=C2C(=C1)C3=CSC=C3)CSCCC4=CC=CC=C4,Cc1cc(-c2ccsc2)c2ncc(CSCCc3ccccc3)n2c1
