cid,Probability of nontox,Probability of tox
641066,0.8170938174072003,0.18290618259279964
512176,0.8171355473451215,0.1828644526548785
129678678,0.8171546561244478,0.18284534387555218
71749595,0.8171853174594678,0.18281468254053226
512735,0.8171853174594678,0.18281468254053226
54023955,0.8172399633661637,0.18276003663383636
496020,0.8173002713060372,0.18269972869396278
121487417,0.817308778721235,0.18269122127876503
163284925,0.8173267405448423,0.18267325945515772
118855897,0.8174872362083083,0.18251276379169162
91872277,0.8175745606150411,0.18242543938495892
121486980,0.8176370701136104,0.18236292988638952
66690715,0.8176679260409102,0.18233207395908982
121487149,0.8176697693745258,0.18233023062547418
136229819,0.8176955657981483,0.18230443420185172
137700695,0.8177123056467708,0.18228769435322925
477552,0.8177426337404862,0.1822573662595138
14352039,0.8178131450493571,0.18218685495064285
136190394,0.81782899702631,0.18217100297369007
139025264,0.8179041932584106,0.18209580674158946
156594215,0.8179230293482572,0.18207697065174275
97298911,0.818009000151311,0.181990999848689
3082267,0.8180269534590996,0.18197304654090046
10061135,0.8180664987483045,0.18193350125169547
95166384,0.8180989523484407,0.18190104765155937
46948803,0.8180989523484407,0.18190104765155937
489576,0.8181189723752055,0.18188102762479455
137202792,0.8181207281562014,0.1818792718437986
166772,0.8181407504667778,0.1818592495332222
72371,0.8182727802774764,0.18172721972252362
22316427,0.8182727802774765,0.18172721972252345
493224,0.8182870613101425,0.18171293868985747
3080720,0.8183261087301498,0.1816738912698502
133126372,0.81832610873015,0.18167389126985004
10978511,0.8183528550675135,0.18164714493248646
155899230,0.8184179566310847,0.18158204336891526
89915057,0.818417956631085,0.181582043368915
21348481,0.8184192387825263,0.18158076121747369
98911,0.8184917642313778,0.18150823576862216
137700694,0.8185018299009441,0.1814981700990559
67763123,0.8185162794905829,0.18148372050941705
69886241,0.8185162794905829,0.18148372050941705
13564810,0.8185162794905829,0.18148372050941705
10589260,0.8185332110447908,0.18146678895520915
433458,0.818553208915842,0.18144679108415793
5274144,0.8185702064942637,0.18142979350573626
163203168,0.8186339343380524,0.18136606566194752
5272907,0.818636994181374,0.18136300581862597
58859108,0.8186740078436252,0.18132599215637485
89341487,0.8186740078436252,0.18132599215637474
122879,0.8186740078436252,0.18132599215637474
472172,0.8186740078436252,0.18132599215637474
3081398,0.8186801453532535,0.18131985464674652
512674,0.8186946397750756,0.18130536022492436
159912,0.8187267699624574,0.18127323003754253
3080864,0.8187604925414735,0.1812395074585264
71351190,0.8187723610952453,0.18122763890475463
150626,0.818839558647874,0.1811604413521259
90470199,0.8189433089944607,0.1810566910055394
54343230,0.8189817464434128,0.18101825355658718
23399682,0.8191046262602665,0.18089537373973355
121216326,0.8191399162199626,0.18086008378003737
22086283,0.8191736635505753,0.1808263364494247
3003718,0.8191772076764139,0.18082279232358608
124507746,0.8194035060481231,0.18059649395187688
688477,0.8194035060481231,0.18059649395187688
44629858,0.8194035060481231,0.18059649395187688
133688189,0.8194035060481231,0.18059649395187688
17571993,0.8194035060481231,0.18059649395187688
7048664,0.8194035060481231,0.18059649395187688
14260256,0.8194613656081609,0.1805386343918392
451843,0.8194734462942486,0.1805265537057515
9427,0.8195181917320614,0.1804818082679386
101317,0.8195181917320614,0.1804818082679386
7059460,0.8195181917320614,0.1804818082679386
1520351,0.8195181917320614,0.1804818082679386
13066372,0.8195181917320614,0.1804818082679386
13066370,0.8195181917320614,0.1804818082679386
45356917,0.8195181917320615,0.1804818082679385
54669724,0.8195181917320615,0.1804818082679385
44629859,0.8195181917320615,0.1804818082679385
44630766,0.8195181917320616,0.18048180826793836
10035668,0.8196505895599427,0.18034941044005728
6480444,0.8196509680126574,0.18034903198734262
93481381,0.8196509680126574,0.18034903198734262
335399,0.8196509680126575,0.18034903198734256
15124212,0.81965671914181,0.18034328085818996
131875471,0.8199414881310125,0.18005851186898741
163320923,0.8199836109634763,0.1800163890365237
156594206,0.8200739981558153,0.17992600184418472
452040,0.8201303530489074,0.17986964695109264
45052344,0.8201385347136576,0.17986146528634242
7282398,0.8202367549826477,0.17976324501735233
1265899,0.8202367549826477,0.17976324501735233
7282400,0.8202367549826477,0.17976324501735233
21824456,0.8202367549826477,0.17976324501735233
14367013,0.8202367549826477,0.17976324501735233
118312477,0.8202367549826477,0.17976324501735233
169704,0.8202367549826478,0.17976324501735216
11369660,0.8202838416588245,0.1797161583411755
3000770,0.8205443993166301,0.1794556006833699
121225517,0.8205717680391322,0.1794282319608677
453628,0.820593843826528,0.17940615617347197
11746791,0.8207014713030327,0.17929852869696727
