cid,Probability of nonactivity,Probability of activity
21139907,0.45728278,0.5427172
13833767,0.45728278,0.5427172
259853,0.45728278,0.5427172
512291,0.45734197,0.54265803
3009936,0.45767742,0.5423226
11130341,0.4581443,0.5418557
129570363,0.45895457,0.5410454
50989698,0.45975894,0.54024106
6450904,0.45975894,0.54024106
131885190,0.45979643,0.5402036
432973,0.45979643,0.5402036
21769748,0.46022028,0.5397797
845540,0.46036345,0.53963655
139086336,0.46053827,0.53946173
146108,0.46084648,0.5391535
13831291,0.46084648,0.5391535
51414401,0.46084648,0.5391535
92271256,0.46132767,0.5386723
451961,0.46141803,0.53858197
90476898,0.46156424,0.53843576
197610,0.46156567,0.5384343
10517505,0.46156567,0.5384343
21821295,0.46181,0.53819
604832,0.461887,0.538113
154701264,0.46202648,0.5379735
494271,0.4622376,0.5377624
11393191,0.462632,0.537368
124795455,0.462632,0.537368
21157436,0.4626994,0.5373006
14842863,0.46303618,0.5369638
92236361,0.46309453,0.53690547
472823,0.4634382,0.5365618
503007,0.4634382,0.5365618
25266884,0.46414053,0.53585947
5273527,0.46486038,0.5351396
77844503,0.4651671,0.5348329
13009595,0.46664923,0.53335077
69527463,0.46670783,0.5332922
516074,0.46687883,0.53312117
3010825,0.4674852,0.5325148
503012,0.467489,0.532511
21144431,0.46750134,0.53249866
419564,0.46750134,0.53249866
513858,0.46858937,0.53141063
3011897,0.46861523,0.53138477
452091,0.46905184,0.53094816
67358,0.4691351,0.5308649
154701265,0.47089422,0.5291058
6334060,0.47134465,0.52865535
57105083,0.47137827,0.52862173
455763,0.47186953,0.5281305
3080719,0.47203308,0.5279669
5273524,0.47203308,0.5279669
510982,0.47238111,0.5276189
7282386,0.47267145,0.52732855
21797130,0.47357666,0.52642334
45357254,0.47357666,0.52642334
46874491,0.47357666,0.52642334
7173845,0.47357666,0.52642334
45358303,0.47357666,0.52642334
44629881,0.47357666,0.52642334
102197,0.47357666,0.52642334
455669,0.47396553,0.5260345
21815879,0.47431725,0.52568275
23629091,0.4743173,0.5256827
469866,0.47481155,0.52518845
10357262,0.47485542,0.5251446
121487869,0.47491878,0.5250812
21854431,0.475084,0.524916
23519677,0.47611427,0.5238857
59504014,0.47717977,0.52282023
59503999,0.47717977,0.52282023
154705095,0.477956,0.522044
92243772,0.47822183,0.52177817
21818173,0.47822183,0.52177817
121486895,0.4785818,0.5214182
121486815,0.47872186,0.52127814
111261,0.47879308,0.5212069
92223676,0.47879308,0.5212069
23616817,0.47879308,0.5212069
9570,0.47879308,0.5212069
162642336,0.47879308,0.5212069
490623,0.4794157,0.5205843
490621,0.4794157,0.5205843
492201,0.4804545,0.5195455
481082,0.48073167,0.51926833
12852,0.4813606,0.5186394
512680,0.48136353,0.51863647
3007216,0.48150414,0.51849586
5278281,0.48167276,0.51832724
439946,0.48175597,0.518244
11022827,0.4821527,0.5178473
5273008,0.48220354,0.51779646
18638512,0.48266637,0.5173336
14860269,0.48282242,0.5171776
10015847,0.48326683,0.51673317
21855714,0.4834088,0.5165912
49791785,0.48358303,0.51641697
472632,0.48358303,0.51641697
472655,0.48358303,0.51641697
131876802,0.48480707,0.5151929
272931,0.48480707,0.5151929
160418,0.4848727,0.5151273
45357852,0.48520195,0.51479805
29924995,0.48520195,0.51479805
21677217,0.48558283,0.5144172
92236327,0.48558283,0.5144172
73514,0.48558283,0.5144172
4127885,0.48558283,0.5144172
6713638,0.48558283,0.5144172
5278277,0.485691,0.514309
91483617,0.48570442,0.5142956
92262962,0.48588526,0.51411474
59035028,0.48588526,0.51411474
3067878,0.4860165,0.5139835
467294,0.48606467,0.5139353
5470408,0.48670417,0.5132958
11173202,0.48675442,0.5132456
13989343,0.4870125,0.5129875
13989345,0.48757988,0.5124201
70697554,0.48759103,0.512409
44355029,0.4876557,0.5123443
9796227,0.4881518,0.5118482
490683,0.48818648,0.5118135
490682,0.48818648,0.5118135
14607014,0.48818952,0.5118105
14159235,0.48827446,0.51172554
72212335,0.48827446,0.51172554
134695307,0.48883802,0.511162
24206417,0.48883802,0.511162
94001662,0.48883802,0.511162
5327118,0.48883802,0.511162
13108018,0.48883802,0.511162
91810866,0.48883802,0.511162
13463,0.48883802,0.511162
1268279,0.48883802,0.511162
15955042,0.48886973,0.5111303
101633999,0.48932177,0.51067823
131876194,0.48977083,0.5102292
12137955,0.48982257,0.51017743
11065406,0.48982257,0.51017743
92233963,0.48982257,0.51017743
11780619,0.49017715,0.50982285
18632907,0.49029166,0.50970834
15024543,0.4906276,0.5093724
44331156,0.49067724,0.50932276
3011745,0.49067724,0.50932276
98625,0.49082655,0.50917345
175972,0.4909796,0.5090204
500900,0.4915099,0.5084901
13871032,0.4915099,0.5084901
124554369,0.4915099,0.5084901
3009857,0.4915099,0.5084901
77844500,0.4916693,0.5083307
5272663,0.49167097,0.50832903
14702157,0.49254036,0.50745964
506143,0.49278307,0.50721693
72968,0.49278307,0.50721693
504751,0.49288398,0.507116
289971,0.4932137,0.5067863
448403,0.4932137,0.5067863
516066,0.4933495,0.5066505
3010354,0.49355733,0.50644267
493443,0.49415994,0.50584006
600164,0.49415994,0.50584006
5273492,0.49458104,0.50541896
585376,0.49459654,0.50540346
21140478,0.4946553,0.5053447
92258080,0.4946553,0.5053447
3011900,0.49495006,0.50504994
136842757,0.49593037,0.5040696
12067880,0.49601924,0.50398076
512128,0.49616075,0.50383925
127258188,0.49658668,0.5034133
3034808,0.49687248,0.5031275
14485373,0.49687248,0.5031275
3007221,0.49695402,0.503046
137195841,0.4972298,0.5027702
5273934,0.497428,0.502572
6536767,0.497428,0.502572
459942,0.49772072,0.5022793
10831407,0.49786943,0.50213057
13872084,0.49805802,0.501942
68200381,0.49834567,0.5016543
10850803,0.49856222,0.5014378
69626062,0.49873358,0.5012664
